POS_ID,SALE_DATE,BRANCH,SKU,VOLUME,PRICE
POS_00094,2024-09-19,NYC-East,Lithium-Cell,5.0,1063.4444287489882
POS_00095,2024-12-06,London-HQ,Controller-Pro,2.0,19.389552456647365
POS_00096,2024-09-05,Tokyo-Central,4K-Camera,5.0,2871.890461240194
POS_00097,2024-10-26,NYC-East,Falcon-Drone,4.0,2746.346426557719
POS_00098,2024-11-10,Berlin-West,Lithium-Cell,,293.48082518362867
POS_00099,2024-11-12,Tokyo-Central,4K-Camera,6.0,2194.664320111619
POS_00100,2024-10-02,Paris-South,4K-Camera,5.0,2067.931298074653
POS_00101,2024-07-29,NYC-East,Lithium-Cell,9.0,2293.9011872933306
POS_00102,2024-09-27,NYC-East,Falcon-Drone,7.0,2388.740262273813
POS_00103,2024-09-27,London-HQ,Signal-Booster,4.0,1034.8806147214889
POS_00104,2024-11-26,NYC-East,4K-Camera,7.0,1415.9168847300134
POS_00105,2024-08-30,NYC-East,Controller-Pro,3.0,47.140736468772104
POS_00106,2024-11-18,NYC-East,Lithium-Cell,5.0,2794.838484383994
POS_00107,2024-08-07,Paris-South,Controller-Pro,3.0,1890.4288430172498
POS_00108,2024-07-15,Paris-South,Controller-Pro,1.0,2635.1508889338834
POS_00109,2024-12-16,Berlin-West,Falcon-Drone,5.0,774.4181948081272
POS_00110,2024-12-26,NYC-East,Falcon-Drone,6.0,1543.6427895914712
POS_00111,2024-12-23,NYC-East,Landing-Gear,2.0,1158.1743703701377
POS_00112,2024-09-26,Paris-South,Signal-Booster,6.0,2402.0935178356012
POS_00113,2024-08-14,NYC-East,4K-Camera,2.0,365.12247590467
POS_00114,2024-10-15,Berlin-West,Lithium-Cell,9.0,2503.293219099007
POS_00115,2024-12-27,Tokyo-Central,Falcon-Drone,5.0,1412.9788181780943
POS_00116,2024-07-28,NYC-East,Controller-Pro,3.0,10.75319142710056
POS_00117,2024-08-27,London-HQ,Falcon-Drone,,-56.66045101608967
POS_00118,2024-10-11,Berlin-West,Landing-Gear,3.0,1573.3726817431823
POS_00119,2024-12-26,Paris-South,Controller-Pro,5.0,309.909318134844
POS_00120,2024-07-03,NYC-East,Falcon-Drone,4.0,1974.7925888393283
POS_00121,2024-08-06,Berlin-West,Lithium-Cell,5.0,958.8550093686731
POS_00122,2024-11-18,Berlin-West,Landing-Gear,2.0,1936.6030923189073
POS_00123,2024-09-21,NYC-East,Signal-Booster,9.0,1708.2235512092318
POS_00124,2024-09-01,NYC-East,Signal-Booster,4.0,2468.6378445361775
POS_00125,2024-07-03,Tokyo-Central,Signal-Booster,3.0,2390.9534234466655
POS_00126,2024-12-26,NYC-East,4K-Camera,4.0,2059.0525610258674
POS_00127,2024-07-28,Tokyo-Central,Signal-Booster,,2348.8976897751645
POS_00128,2024-12-17,Berlin-West,Controller-Pro,1.0,755.2604977564607
POS_00129,2024-07-02,Tokyo-Central,Falcon-Drone,6.0,2163.9111741192582
POS_00130,2024-11-01,NYC-East,Controller-Pro,1.0,10.756003423277363
POS_00131,2024-07-19,Berlin-West,Landing-Gear,1.0,1851.5064323088534
POS_00132,2024-12-22,Paris-South,Falcon-Drone,2.0,776.8551450077697
POS_00133,2024-11-06,Berlin-West,Signal-Booster,2.0,1749.4919755351007
POS_00134,2024-11-11,NYC-East,Falcon-Drone,7.0,675.7642358332032
POS_00135,2024-11-10,NYC-East,Falcon-Drone,5.0,1688.5476109570607
POS_00136,2024-10-19,Tokyo-Central,Controller-Pro,,2486.4100107808445
POS_00137,2024-12-03,Tokyo-Central,Lithium-Cell,7.0,124.3308409316056
POS_00138,2024-07-31,NYC-East,4K-Camera,,2853.434304253934
POS_00139,2024-12-21,Tokyo-Central,Landing-Gear,7.0,1095.7568351972272
POS_00140,2024-09-19,Paris-South,Falcon-Drone,4.0,2510.335944848533
POS_00141,2024-07-30,Berlin-West,Signal-Booster,1.0,1500.2840846212978
POS_00142,2024-12-12,Berlin-West,4K-Camera,9.0,2881.1592590468167
POS_00143,2024-10-15,NYC-East,Lithium-Cell,4.0,701.3924063881054
POS_00144,2024-07-27,NYC-East,4K-Camera,5.0,675.8764168565317
POS_00145,2024-10-15,Paris-South,Controller-Pro,7.0,1013.0254026855703
POS_00146,2024-07-06,NYC-East,Signal-Booster,5.0,1907.2990162586611
POS_00147,2024-12-15,Paris-South,Controller-Pro,2.0,884.917962983312
POS_00148,2024-11-24,NYC-East,Landing-Gear,3.0,188.676376815073
POS_00149,2024-09-22,Berlin-West,Signal-Booster,5.0,1694.5559208652273
POS_00150,2024-11-18,Paris-South,Landing-Gear,8.0,2327.481064171844
POS_00151,2024-11-03,Berlin-West,Signal-Booster,7.0,1138.9856810972378
POS_00152,2024-09-13,Berlin-West,Signal-Booster,6.0,-11.865532507676235
POS_00153,2024-09-21,Berlin-West,4K-Camera,1.0,2929.460488004719
POS_00154,2024-11-26,NYC-East,Landing-Gear,7.0,2630.89457284401
POS_00155,2024-09-10,Berlin-West,Lithium-Cell,6.0,1058.004406466835
POS_00156,2024-08-17,London-HQ,Lithium-Cell,9.0,1440.7537458007853
POS_00157,2024-11-10,London-HQ,Falcon-Drone,1.0,1774.0708714710277
POS_00158,2024-09-21,London-HQ,Lithium-Cell,5.0,1838.9492821823815
POS_00159,2024-07-28,NYC-East,Lithium-Cell,,2947.1837653231996
POS_00160,2024-09-29,Berlin-West,Lithium-Cell,8.0,1103.1530894330874
POS_00161,2024-08-16,Tokyo-Central,Landing-Gear,7.0,2673.3620596349306
POS_00162,2024-07-13,London-HQ,Landing-Gear,2.0,1604.2842111631696
POS_00163,2024-11-23,NYC-East,Falcon-Drone,5.0,2907.821236519052
POS_00164,2024-12-27,London-HQ,Signal-Booster,7.0,2315.1438598833656
POS_00165,2024-09-16,Paris-South,Signal-Booster,8.0,360.44169321584917
POS_00166,2024-07-08,Berlin-West,4K-Camera,7.0,2556.217482728849
POS_00167,2024-09-08,Berlin-West,Controller-Pro,8.0,1507.4251962166256
POS_00168,2024-09-22,Tokyo-Central,4K-Camera,4.0,114.029959451227
POS_00169,2024-09-19,Tokyo-Central,Falcon-Drone,8.0,1496.2502655868118
POS_00170,2024-11-20,Berlin-West,Signal-Booster,8.0,1844.724732653166
POS_00171,2024-07-14,Tokyo-Central,Signal-Booster,9.0,597.0434701752422
POS_00172,2024-10-29,Tokyo-Central,Controller-Pro,8.0,2719.460319876412
POS_00173,2024-07-12,Paris-South,Falcon-Drone,3.0,1269.5101155108107
POS_00174,2024-12-04,Tokyo-Central,Signal-Booster,6.0,1377.496194046557
POS_00175,2024-08-03,London-HQ,Controller-Pro,2.0,1793.6296727413082
POS_00176,2024-08-12,Paris-South,Lithium-Cell,8.0,966.5142482231201
POS_00177,2024-08-06,Berlin-West,4K-Camera,2.0,982.8801764214165
POS_00178,2024-11-08,Tokyo-Central,Signal-Booster,9.0,722.8866712124919
POS_00179,2024-09-23,London-HQ,4K-Camera,7.0,2349.314630318583
POS_00180,2024-11-26,London-HQ,Controller-Pro,1.0,38.87584995112638
POS_00181,2024-11-08,Berlin-West,Controller-Pro,8.0,2345.342648026899
POS_00182,2024-11-27,London-HQ,Controller-Pro,4.0,2363.5393017485294
POS_00183,2024-12-04,Tokyo-Central,Signal-Booster,8.0,2140.956590568543
POS_00184,2024-11-01,London-HQ,Controller-Pro,7.0,1471.093015489166
POS_00185,2024-12-22,NYC-East,Controller-Pro,7.0,57.13108952043831
POS_00186,2024-11-20,Paris-South,Landing-Gear,8.0,653.6814568514004
POS_00187,2024-10-10,Berlin-West,Signal-Booster,4.0,1731.4390209671733
POS_00188,2024-10-07,Berlin-West,Lithium-Cell,9.0,133.24882593607535
POS_00189,2024-10-03,Berlin-West,Signal-Booster,2.0,2420.962731091919
POS_00190,2024-07-08,London-HQ,Signal-Booster,8.0,1718.2757390771599
POS_00191,2024-12-06,Paris-South,Falcon-Drone,7.0,1495.1982178153107
POS_00192,2024-07-10,NYC-East,4K-Camera,5.0,2801.541306440564
POS_00193,2024-11-20,London-HQ,Landing-Gear,2.0,1727.6226887818536
POS_00194,2024-08-01,Berlin-West,Signal-Booster,7.0,1391.9911945097097
POS_00195,2024-09-23,NYC-East,Signal-Booster,9.0,1818.4973963133577
POS_00196,2024-07-25,London-HQ,Lithium-Cell,1.0,834.9107683959727
POS_00197,2024-11-25,Paris-South,4K-Camera,2.0,1238.4360623953846
POS_00198,2024-11-27,Paris-South,Falcon-Drone,1.0,1526.5950648861697
POS_00199,2024-08-02,Tokyo-Central,4K-Camera,8.0,2339.008256591988
POS_00200,2024-12-17,Tokyo-Central,Controller-Pro,3.0,637.84859148754
POS_00201,2024-08-07,Berlin-West,4K-Camera,6.0,207.1094497760056
POS_00202,2024-08-30,Paris-South,Controller-Pro,5.0,1213.145382337726
POS_00203,2024-09-17,NYC-East,Lithium-Cell,9.0,2649.0606870547413
POS_00204,2024-07-03,NYC-East,Falcon-Drone,3.0,90.33084070432108
POS_00205,2024-09-04,Paris-South,Controller-Pro,2.0,172.22758458723337
POS_00206,2024-12-03,NYC-East,Landing-Gear,4.0,1552.1432524360666
POS_00207,2024-07-19,Tokyo-Central,Signal-Booster,2.0,19.040985010783658
POS_00208,2024-09-06,Paris-South,Falcon-Drone,2.0,2688.2305441942085
POS_00209,2024-10-04,London-HQ,Lithium-Cell,4.0,879.8543940329484
POS_00210,2024-08-30,Paris-South,Landing-Gear,6.0,443.8584562924218
POS_00211,2024-10-13,Paris-South,Falcon-Drone,1.0,734.6001990226351
POS_00212,2024-10-29,Berlin-West,4K-Camera,7.0,1886.7894247862298
POS_00213,2024-12-07,Paris-South,Falcon-Drone,8.0,611.2509018590222
POS_00214,2024-07-15,Berlin-West,Landing-Gear,2.0,1540.8461420801248
POS_00215,2024-12-06,Berlin-West,Falcon-Drone,2.0,1518.5508597045723
POS_00216,2024-07-15,NYC-East,Signal-Booster,9.0,868.7442477059129
POS_00217,2024-07-04,London-HQ,Signal-Booster,1.0,1340.9984619422803
POS_00218,2024-11-14,Berlin-West,Lithium-Cell,7.0,2083.175533377757
POS_00219,2024-11-28,Tokyo-Central,4K-Camera,2.0,2980.1489396061684
POS_00220,2024-08-28,Berlin-West,Controller-Pro,9.0,855.5809454406663
POS_00221,2024-08-07,Berlin-West,Falcon-Drone,1.0,2206.8704965038733
POS_00222,2024-09-25,London-HQ,Controller-Pro,6.0,2606.1416363279013
POS_00223,2024-10-29,Berlin-West,4K-Camera,5.0,2302.4489804074246
POS_00224,2024-10-30,NYC-East,Landing-Gear,4.0,2220.7757048608314
POS_00225,2024-10-25,Paris-South,4K-Camera,5.0,1076.1210222006002
POS_00226,2024-12-19,Tokyo-Central,Controller-Pro,1.0,2811.632641632549
POS_00227,2024-07-04,Berlin-West,Landing-Gear,7.0,2444.4676723557427
POS_00228,2024-08-14,Paris-South,Falcon-Drone,1.0,259.6593060913061
POS_00229,2024-07-09,Berlin-West,Falcon-Drone,7.0,1099.6272268014154
POS_00230,2024-11-28,Berlin-West,Falcon-Drone,1.0,31.94321882678878
POS_00231,2024-12-09,London-HQ,Signal-Booster,7.0,432.3165301432532
POS_00232,2024-07-30,Paris-South,Lithium-Cell,9.0,1041.9633631946192
POS_00233,2024-09-23,Tokyo-Central,4K-Camera,9.0,-87.98428026582754
POS_00234,2024-09-29,NYC-East,Landing-Gear,5.0,1986.853497119455
POS_00235,2024-08-01,London-HQ,4K-Camera,1.0,2691.2553104874482
POS_00236,2024-09-10,Paris-South,4K-Camera,1.0,2830.865579270379
POS_00237,2024-07-09,NYC-East,Landing-Gear,9.0,2815.5128325705514
POS_00238,2024-12-23,Berlin-West,Landing-Gear,7.0,1422.7232432820763
POS_00239,2024-10-27,Paris-South,Controller-Pro,6.0,1748.7302693507809
POS_00240,2024-08-19,Tokyo-Central,Falcon-Drone,7.0,2437.0973481609776
POS_00241,2024-07-07,Paris-South,Landing-Gear,,2196.030397479338
POS_00242,2024-07-28,Tokyo-Central,Controller-Pro,7.0,2095.2048474942694
POS_00243,2024-07-06,London-HQ,4K-Camera,2.0,2078.5746844502614
POS_00244,2024-11-08,NYC-East,Controller-Pro,1.0,15.891834553215887
POS_00245,2024-08-19,Tokyo-Central,Controller-Pro,8.0,1777.8742311469962
POS_00246,2024-09-13,NYC-East,4K-Camera,1.0,1057.0264895662488
POS_00247,2024-07-10,Paris-South,Falcon-Drone,6.0,1617.2104228939356
POS_00248,2024-12-12,Berlin-West,4K-Camera,5.0,557.9462563452453
POS_00249,2024-10-01,Berlin-West,Lithium-Cell,5.0,1478.659918784335
POS_00250,2024-08-05,Tokyo-Central,Controller-Pro,6.0,960.6284332998275
POS_00251,2024-10-07,Tokyo-Central,Falcon-Drone,6.0,2699.2791771798934
POS_00252,2024-10-11,Tokyo-Central,Controller-Pro,9.0,1974.6925138240708
POS_00253,2024-08-26,NYC-East,Landing-Gear,3.0,2344.3609661065
POS_00254,2024-12-04,Paris-South,4K-Camera,5.0,2341.5006306218556
POS_00255,2024-12-17,Tokyo-Central,Landing-Gear,1.0,121.72024722411246
POS_00256,2024-11-18,Berlin-West,Lithium-Cell,9.0,773.5758006472357
POS_00257,2024-07-10,NYC-East,4K-Camera,2.0,1377.7836184440241
POS_00258,2024-07-09,Berlin-West,Landing-Gear,3.0,1023.6365645988662
POS_00259,2024-08-29,Tokyo-Central,Signal-Booster,7.0,1210.3724336570676
POS_00260,2024-12-02,Paris-South,Controller-Pro,5.0,1945.3186469655516
POS_00261,2024-08-11,Berlin-West,Landing-Gear,7.0,867.7524796163611
POS_00262,2024-11-12,Paris-South,Controller-Pro,5.0,2584.8185042688215
POS_00263,2024-10-06,Berlin-West,Falcon-Drone,2.0,2569.2880453494827
POS_00264,2024-11-21,Tokyo-Central,Controller-Pro,5.0,184.43257658760808
POS_00265,2024-07-24,NYC-East,4K-Camera,4.0,2963.9957212660856
POS_00266,2024-07-21,Tokyo-Central,Signal-Booster,6.0,1559.365572022418
POS_00267,2024-07-28,Berlin-West,Landing-Gear,7.0,795.0745404210863
POS_00268,2024-07-26,London-HQ,Lithium-Cell,3.0,1952.5179226116015
POS_00269,2024-09-13,London-HQ,Falcon-Drone,2.0,927.2523967964955
POS_00270,2024-10-15,Tokyo-Central,Lithium-Cell,3.0,170.2799288678038
POS_00271,2024-09-27,Berlin-West,Controller-Pro,7.0,1224.8026042368913
POS_00272,2024-07-23,Berlin-West,Controller-Pro,,1216.4991317721942
POS_00273,2024-12-13,NYC-East,Controller-Pro,6.0,2947.4131209673733
POS_00274,2024-11-18,London-HQ,Falcon-Drone,8.0,1307.8625059121746
POS_00275,2024-10-17,NYC-East,Lithium-Cell,4.0,2013.13527770565
POS_00276,2024-12-15,Paris-South,Falcon-Drone,6.0,-80.58216031718264
POS_00277,2024-08-06,London-HQ,Controller-Pro,2.0,2585.0092856047077
POS_00278,2024-12-21,Tokyo-Central,4K-Camera,1.0,1800.6244072018699
POS_00279,2024-10-26,Tokyo-Central,Falcon-Drone,4.0,1816.368771767463
POS_00280,2024-08-04,Tokyo-Central,Controller-Pro,,1911.7918103039483
POS_00281,2024-12-09,Berlin-West,4K-Camera,2.0,677.0595772733458
POS_00282,2024-08-29,Tokyo-Central,Signal-Booster,9.0,2743.7813635470384
POS_00283,2024-08-22,Berlin-West,Signal-Booster,1.0,2590.39110088748
POS_00284,2024-07-09,NYC-East,Lithium-Cell,7.0,860.3789255823688
POS_00285,2024-11-28,Berlin-West,4K-Camera,1.0,2779.6659455245617
POS_00286,2024-12-15,NYC-East,Landing-Gear,5.0,1170.236169204525
POS_00287,2024-08-22,Berlin-West,4K-Camera,1.0,2092.1166077860776
POS_00288,2024-10-20,London-HQ,Falcon-Drone,3.0,57.33610072220327
POS_00289,2024-10-16,Berlin-West,Falcon-Drone,7.0,642.0243158807042
POS_00290,2024-07-19,London-HQ,4K-Camera,1.0,2586.3006416981057
POS_00291,2024-10-16,Berlin-West,Landing-Gear,1.0,2739.379010467848
POS_00292,2024-08-12,NYC-East,4K-Camera,1.0,2111.7465078785212
POS_00293,2024-07-20,NYC-East,4K-Camera,,1911.4829302104306
POS_00294,2024-08-08,Berlin-West,Controller-Pro,9.0,1768.1700671725944
POS_00295,2024-07-08,Berlin-West,Lithium-Cell,5.0,522.8832760423211
POS_00296,2024-09-03,London-HQ,Falcon-Drone,5.0,2874.1620605512057
POS_00297,2024-08-12,Paris-South,Landing-Gear,8.0,-93.38146784581144
POS_00298,2024-08-05,Tokyo-Central,Lithium-Cell,9.0,1900.8305289280083
POS_00299,2024-12-12,Tokyo-Central,Falcon-Drone,7.0,1383.0435181279138
POS_00300,2024-07-22,Tokyo-Central,Signal-Booster,2.0,2521.2867809351415
POS_00301,2024-11-05,London-HQ,Falcon-Drone,6.0,-0.4402872305476393
POS_00302,2024-09-21,Tokyo-Central,Signal-Booster,7.0,890.3909672298274
POS_00303,2024-08-29,Tokyo-Central,Controller-Pro,5.0,455.63668762385043
POS_00304,2024-08-06,NYC-East,4K-Camera,1.0,-1.8416430799423864
POS_00305,2024-09-04,Berlin-West,Landing-Gear,4.0,1553.9755928065733
POS_00306,2024-08-11,London-HQ,Falcon-Drone,1.0,1823.4339388894648
POS_00307,2024-11-12,Tokyo-Central,Signal-Booster,,828.0918369774132
POS_00308,2024-11-14,London-HQ,Signal-Booster,4.0,2203.3096110595125
POS_00309,2024-08-12,London-HQ,Controller-Pro,8.0,1599.572519701264
POS_00310,2024-12-01,Tokyo-Central,Falcon-Drone,6.0,2394.7889777582827
POS_00311,2024-09-03,NYC-East,Signal-Booster,1.0,321.57349220266696
POS_00312,2024-10-22,Paris-South,Falcon-Drone,7.0,1387.039243628964
POS_00313,2024-07-19,Berlin-West,Controller-Pro,6.0,689.1477477461965
POS_00314,2024-08-25,Berlin-West,Controller-Pro,4.0,457.0042845674219
POS_00315,2024-07-11,Berlin-West,Lithium-Cell,8.0,1983.3767185129068
POS_00316,2024-11-04,London-HQ,Lithium-Cell,1.0,2288.0084154605797
POS_00317,2024-09-03,Tokyo-Central,Landing-Gear,4.0,2087.8349401017776
POS_00318,2024-11-01,London-HQ,Controller-Pro,1.0,374.51916558795955
POS_00319,2024-10-29,Tokyo-Central,Lithium-Cell,1.0,988.3262299585444
POS_00320,2024-12-10,Tokyo-Central,Controller-Pro,3.0,1871.702494524851
POS_00321,2024-11-19,NYC-East,Falcon-Drone,3.0,2361.730709245626
POS_00322,2024-11-10,Paris-South,Falcon-Drone,1.0,1852.3736451787902
POS_00323,2024-07-12,Tokyo-Central,4K-Camera,4.0,2555.824997991177
POS_00324,2024-12-20,Tokyo-Central,Lithium-Cell,9.0,84.40410022625579
POS_00325,2024-09-19,Berlin-West,Controller-Pro,3.0,-47.033663384037695
POS_00326,2024-10-11,London-HQ,4K-Camera,5.0,1840.0050470276353
POS_00327,2024-09-26,Tokyo-Central,Lithium-Cell,5.0,759.8289270672803
POS_00328,2024-12-23,Paris-South,Controller-Pro,3.0,2755.1119609376233
POS_00329,2024-11-23,London-HQ,4K-Camera,1.0,822.1732480063953
POS_00330,2024-09-24,NYC-East,Landing-Gear,9.0,2395.629986281512
POS_00331,2024-12-25,Tokyo-Central,Controller-Pro,3.0,1457.2581465560131
POS_00332,2024-09-26,Berlin-West,Controller-Pro,7.0,1676.5864509791024
POS_00333,2024-11-08,Berlin-West,Controller-Pro,1.0,2723.8261096870056
POS_00334,2024-11-23,Tokyo-Central,Controller-Pro,2.0,434.43611140751705
POS_00335,2024-08-26,Tokyo-Central,Lithium-Cell,1.0,967.6691197116581
POS_00336,2024-10-17,Tokyo-Central,4K-Camera,7.0,1456.1419546780357
POS_00337,2024-10-16,Berlin-West,Signal-Booster,4.0,2938.458685364473
POS_00338,2024-07-21,Tokyo-Central,Falcon-Drone,3.0,2614.40691975603
POS_00339,2024-07-25,NYC-East,Lithium-Cell,7.0,1610.8128262901726
POS_00340,2024-07-16,Paris-South,Lithium-Cell,1.0,291.88355001343473
POS_00341,2024-08-27,Berlin-West,4K-Camera,,53.77196409613188
POS_00342,2024-07-01,NYC-East,4K-Camera,,1575.3694418281705
POS_00343,2024-10-29,Tokyo-Central,Signal-Booster,7.0,2154.0198350884502
POS_00344,2024-10-09,Paris-South,Landing-Gear,4.0,994.0109458443967
