LOG_ID,EVENT_TIME,LOCATION,ITEM,UNITS,PRICE_PER_UNIT
CSV_00086,2023-08-04,Tokyo-04,Mouse,7,187.39777599225806
CSV_00087,2023-10-27,London-01,TV,8,-127.49423792226696
CSV_00088,2023-10-24,Berlin-03,Mouse,7,1421.7772719185355
CSV_00089,2023-09-17,Berlin-03,Cables,3,1403.7682741913093
CSV_00090,2023-10-21,NYC-02,Laptop,5,707.5685379763515
CSV_00091,2023-10-03,London-01,Cables,6,1200.8804803797286
CSV_00092,2023-11-04,Paris-05,Phone,7,1124.5558416249191
CSV_00093,2023-08-07,Berlin-03,Monitor,6,135.0692314576006
CSV_00094,2023-12-04,NYC-02,TV,7,-203.08146764845003
CSV_00095,2023-10-05,NYC-02,Monitor,2,1706.0530212173758
CSV_00096,2023-07-09,Tokyo-04,Laptop,5,-42.99992438592261
CSV_00097,2023-11-02,London-01,Phone,8,1054.5989662350482
CSV_00098,2023-11-29,NYC-02,Keyboard,8,967.2232935637617
CSV_00099,2023-09-11,Paris-05,Cables,7,1495.3837879425776
CSV_00100,2023-10-21,Tokyo-04,Laptop,1,1134.8034248143786
CSV_00101,2023-12-07,NYC-02,Mouse,4,1978.2601485277773
CSV_00102,2023-09-26,Tokyo-04,Laptop,7,1985.3234536244313
CSV_00103,2023-08-08,London-01,Keyboard,QTY_ERR,1559.7803186415726
CSV_00104,2023-12-03,Tokyo-04,Cables,9,376.7917937304145
CSV_00105,2023-12-13,London-01,Monitor,2,1902.1903377998337
CSV_00106,2023-07-20,Tokyo-04,Monitor,QTY_ERR,657.0071953977092
CSV_00107,2023-10-07,London-01,Cables,6,1809.5281748946377
CSV_00108,2023-12-11,NYC-02,Cables,,88.62536406735774
CSV_00109,2023-09-25,Berlin-03,Cables,8,19.20520741114194
CSV_00110,2023-09-17,NYC-02,Keyboard,3,980.0074553983634
CSV_00111,2023-10-25,Berlin-03,Keyboard,2,185.87540963842423
CSV_00112,2023-11-03,NYC-02,Monitor,8,-236.98267751745897
CSV_00113,2023-11-20,Paris-05,Cables,5,49.378160960168316
CSV_00114,2023-09-29,Paris-05,Mouse,QTY_ERR,58.40970221584132
CSV_00115,2023-11-10,London-01,TV,8,1449.2109134139448
CSV_00116,2023-09-15,London-01,Cables,1,1996.3127824739818
CSV_00117,2023-07-25,Paris-05,TV,2,1277.7778351264365
CSV_00118,2023-08-29,NYC-02,Laptop,5,1687.2795831369708
CSV_00119,2023-11-24,Berlin-03,Laptop,8,101.12031352019869
CSV_00120,2023-07-05,Berlin-03,TV,3,1225.649354482702
CSV_00121,2023-12-15,London-01,Keyboard,,1493.3227143473396
CSV_00122,2023-10-31,Berlin-03,Mouse,7,-203.64765756087934
CSV_00123,2023-10-09,London-01,Keyboard,1,1298.3895793763077
CSV_00124,2023-07-13,Paris-05,Cables,1,586.8793155999729
CSV_00125,2023-08-23,Tokyo-04,Phone,1,77.63654886376969
CSV_00126,2023-07-31,Berlin-03,Mouse,3,642.2476772862265
CSV_00127,2023-07-03,Tokyo-04,Phone,5,1207.3444942483654
CSV_00128,2023-07-18,Paris-05,Monitor,4,-71.22544254939311
CSV_00129,2023-10-18,Berlin-03,Monitor,QTY_ERR,949.7648457058738
CSV_00130,2023-11-19,NYC-02,Laptop,3,1446.3545377152939
CSV_00131,2023-12-10,Berlin-03,Cables,4,137.00206119265886
CSV_00132,2023-07-24,NYC-02,Cables,9,-100.32836190720553
CSV_00133,2023-07-01,NYC-02,Keyboard,6,-211.02034902177837
CSV_00134,2023-09-25,Paris-05,Phone,5,491.0153843141403
CSV_00135,2023-10-05,London-01,Phone,9,404.1947125813157
CSV_00136,2023-08-17,Paris-05,TV,8,-207.52941079403018
CSV_00137,2023-09-18,NYC-02,Monitor,4,924.7727005319041
CSV_00138,2023-11-20,London-01,Keyboard,6,1857.9351278964327
CSV_00139,2023-10-08,Berlin-03,Monitor,4,1949.8506364120108
CSV_00140,2023-11-19,Paris-05,Monitor,7,278.66083170353147
CSV_00141,2023-12-07,NYC-02,Keyboard,9,-110.16212170980435
CSV_00142,2023-09-15,Berlin-03,Mouse,6,886.865759579814
CSV_00143,2023-10-27,Paris-05,Cables,8,1178.819469535169
CSV_00144,2023-11-22,Tokyo-04,Mouse,1,683.3917176080083
CSV_00145,2023-07-25,London-01,TV,5,495.7751425334583
CSV_00146,2023-07-20,Berlin-03,Keyboard,3,1494.2598257494212
CSV_00147,2023-12-15,London-01,Cables,7,1879.5935885420213
CSV_00148,2023-07-23,NYC-02,TV,9,1630.5614501953928
CSV_00149,2023-10-14,Berlin-03,Monitor,1,1190.657232085617
CSV_00150,2023-09-23,Tokyo-04,TV,QTY_ERR,1584.8731398657847
CSV_00151,2023-12-01,Berlin-03,Keyboard,,1253.095694760569
CSV_00152,2023-07-10,Tokyo-04,Monitor,3,519.5982666877751
CSV_00153,2023-09-18,Tokyo-04,Monitor,6,1214.3593308262089
CSV_00154,2023-12-25,London-01,Laptop,1,535.1548505333535
CSV_00155,2023-11-08,London-01,Cables,6,-477.342254533389
CSV_00156,2023-11-30,Tokyo-04,Cables,4,936.8341288471559
CSV_00157,2023-12-15,Berlin-03,Phone,7,262.98458609988154
CSV_00158,2023-12-02,NYC-02,Cables,5,662.387559044326
CSV_00159,2023-12-04,Berlin-03,Laptop,5,673.7555806858352
CSV_00160,2023-11-10,Berlin-03,Keyboard,2,631.2176874019256
CSV_00161,2023-10-05,London-01,Phone,1,-327.72576099204457
CSV_00162,2023-07-16,Berlin-03,Monitor,9,-266.48079559946007
CSV_00163,2023-12-16,Berlin-03,TV,9,1160.359393103418
CSV_00164,2023-12-23,London-01,Mouse,5,-258.1676241185991
CSV_00165,2023-07-15,NYC-02,Monitor,3,-13.015540905995465
CSV_00166,2023-11-03,Berlin-03,TV,9,-424.6467056936799
CSV_00167,2023-09-12,Berlin-03,Cables,2,86.00363430933942
CSV_00168,2023-11-16,Paris-05,Monitor,8,-34.44597634721168
CSV_00169,2023-09-30,NYC-02,Monitor,QTY_ERR,1565.728412343381
CSV_00170,2023-08-13,Tokyo-04,TV,5,54.16047068248349
CSV_00171,2023-07-23,London-01,Laptop,2,283.2018234726535
CSV_00172,2023-09-27,Paris-05,Mouse,7,97.78439839954092
CSV_00173,2023-07-17,NYC-02,Phone,4,713.4707481924281
CSV_00174,2023-09-10,Paris-05,Cables,2,1134.3312503153586
CSV_00175,2023-08-28,NYC-02,Keyboard,7,-477.51426795642215
CSV_00176,2023-10-05,Paris-05,Laptop,6,-65.49627763692428
CSV_00177,2023-08-26,Tokyo-04,TV,7,1751.142681869956
CSV_00178,2023-07-18,Tokyo-04,TV,5,1175.4979157873559
CSV_00179,2023-11-14,Tokyo-04,Cables,5,1844.4623920040372
CSV_00180,2023-08-19,Tokyo-04,Cables,6,1747.2143846553631
CSV_00181,2023-11-17,Berlin-03,Cables,4,1567.8271290513562
CSV_00182,2023-07-21,NYC-02,Keyboard,6,1044.7685602966217
CSV_00183,2023-11-20,Berlin-03,TV,3,180.8835328336529
CSV_00184,2023-10-12,Tokyo-04,Laptop,8,418.4682228798946
CSV_00185,2023-07-01,Berlin-03,Phone,9,1618.5522190666393
CSV_00186,2023-07-09,London-01,Laptop,5,1859.7447256367395
CSV_00187,2023-11-02,NYC-02,Phone,8,1550.9033709895625
CSV_00188,2023-08-28,Berlin-03,Monitor,3,1427.6414272661634
CSV_00189,2023-10-17,Berlin-03,Monitor,2,69.83164334288597
CSV_00190,2023-09-14,London-01,Monitor,5,172.97472798679541
CSV_00191,2023-11-09,Berlin-03,Laptop,6,190.56828391318356
CSV_00192,2023-07-04,Paris-05,Cables,8,582.9440300116312
CSV_00193,2023-10-07,Paris-05,Monitor,3,521.1129311200496
CSV_00194,2023-12-09,Tokyo-04,Cables,1,-423.41076948464183
CSV_00195,2023-10-25,Paris-05,Laptop,4,-216.54822598249422
CSV_00196,2023-10-26,Tokyo-04,Monitor,3,1878.8560877556688
CSV_00197,2023-11-18,Tokyo-04,Monitor,6,-195.95135321610957
CSV_00198,2023-12-09,NYC-02,Laptop,3,893.3310618768783
CSV_00199,2023-11-07,NYC-02,Laptop,1,584.1148118300748
CSV_00200,2023-08-07,NYC-02,Cables,6,-13.287484249533236
CSV_00201,2023-11-14,London-01,Laptop,4,1156.30977595926
CSV_00202,2023-08-21,Paris-05,Laptop,9,1429.1305010472709
CSV_00203,2023-10-01,Berlin-03,TV,3,935.6667240022452
CSV_00204,2023-09-23,London-01,Phone,7,1059.159119463314
CSV_00205,2023-08-14,Berlin-03,Cables,7,780.67187696113
CSV_00206,2023-08-23,Paris-05,Mouse,3,1221.7228773279187
CSV_00207,2023-07-16,NYC-02,Keyboard,3,1723.9353361911653
CSV_00208,2023-07-09,Paris-05,Cables,4,-427.006194951298
CSV_00209,2023-08-13,Berlin-03,Laptop,QTY_ERR,1252.9467958856771
CSV_00210,2023-09-23,Tokyo-04,Laptop,6,1018.2718573031884
CSV_00211,2023-11-10,Tokyo-04,Phone,5,942.7928930648782
CSV_00212,2023-11-07,Paris-05,Mouse,9,1588.0932920601276
CSV_00213,2023-11-02,Tokyo-04,Monitor,8,1475.4178431130508
CSV_00214,2023-11-29,Paris-05,Phone,4,636.1587671036739
CSV_00215,2023-08-18,NYC-02,TV,2,-259.7248357532901
CSV_00216,2023-09-15,Tokyo-04,Laptop,8,-194.23920926569036
CSV_00217,2023-11-28,Berlin-03,Cables,6,-310.028370261146
CSV_00218,2023-09-15,Paris-05,Phone,9,864.5750241356227
CSV_00219,2023-10-29,Paris-05,Keyboard,2,712.7574598476638
CSV_00220,2023-08-21,Tokyo-04,Keyboard,3,159.89617061760373
CSV_00221,2023-08-06,Tokyo-04,Phone,7,342.07250828807196
CSV_00222,2023-08-06,Tokyo-04,Cables,7,1748.055379936818
CSV_00223,2023-11-28,Tokyo-04,Monitor,2,1731.538335222579
CSV_00224,2023-12-16,London-01,Keyboard,2,299.04455646189035
CSV_00225,2023-08-30,London-01,Mouse,,1628.6775347171933
CSV_00226,2023-10-14,Berlin-03,TV,5,1270.1058425138044
CSV_00227,2023-10-17,Tokyo-04,Phone,5,1058.426900552243
CSV_00228,2023-09-30,London-01,Keyboard,3,-111.98305205179156
CSV_00229,2023-08-16,NYC-02,Mouse,8,260.6332085244053
CSV_00230,2023-07-12,Tokyo-04,TV,2,797.9328662526407
CSV_00231,2023-09-12,NYC-02,Keyboard,5,1621.595994882648
CSV_00232,2023-11-23,Paris-05,Cables,3,-232.5454809198597
CSV_00233,2023-12-16,London-01,Laptop,8,62.49669254392791
CSV_00234,2023-10-14,London-01,TV,8,-297.0457365207678
CSV_00235,2023-11-24,NYC-02,Mouse,1,-144.25605300503946
CSV_00236,2023-10-22,London-01,Mouse,3,1548.8078052398414
CSV_00237,2023-09-13,NYC-02,TV,3,965.2677948430571
CSV_00238,2023-07-14,Paris-05,Cables,9,1495.4398461544872
CSV_00239,2023-11-08,London-01,TV,1,1804.9203137708223
CSV_00240,2023-07-21,London-01,Cables,4,581.2824368663671
CSV_00241,2023-07-18,Paris-05,Monitor,9,746.39410070444
CSV_00242,2023-10-16,Berlin-03,TV,1,645.6637059920208
CSV_00243,2023-07-25,Tokyo-04,TV,3,1868.069503652474
CSV_00244,2023-09-30,Tokyo-04,TV,1,1700.0909206456545
CSV_00245,2023-09-07,Paris-05,Keyboard,9,306.530153603544
CSV_00246,2023-10-29,Berlin-03,Mouse,2,1698.8039814652184
CSV_00247,2023-10-24,Paris-05,Monitor,5,711.0629884798477
CSV_00248,2023-12-10,NYC-02,Monitor,3,-8.985080877321593
CSV_00249,2023-12-07,Paris-05,TV,3,-169.60950673919325
CSV_00250,2023-11-20,London-01,Keyboard,8,979.2010488300039
CSV_00251,2023-09-14,London-01,Keyboard,7,1914.7125323583555
CSV_00252,2023-10-16,NYC-02,Mouse,7,966.9432205578753
CSV_00253,2023-10-07,Paris-05,Keyboard,4,-220.617490700843
CSV_00254,2023-09-10,NYC-02,Mouse,4,1424.1454915296913
CSV_00255,2023-09-16,Paris-05,Monitor,3,1020.3380823078567
CSV_00256,2023-07-03,Tokyo-04,Phone,2,635.6674959138979
CSV_00257,2023-12-08,NYC-02,Laptop,2,261.9724991839497
CSV_00258,2023-08-08,London-01,Cables,3,1822.2245666387944
CSV_00259,2023-10-06,Tokyo-04,Laptop,1,1052.2242614983786
CSV_00260,2023-10-14,NYC-02,TV,7,-176.04458017519318
CSV_00261,2023-07-28,NYC-02,TV,6,894.3860008619822
CSV_00262,2023-08-01,Paris-05,TV,4,1491.8400972280567
CSV_00263,2023-12-20,Paris-05,Cables,3,796.3685776100317
CSV_00264,2023-09-30,Tokyo-04,Laptop,3,1465.7928617481552
CSV_00265,2023-09-30,Berlin-03,Cables,7,629.1843201879287
CSV_00266,2023-12-04,Paris-05,Cables,6,216.53889612431908
CSV_00267,2023-10-28,Berlin-03,TV,6,9.905793271916707
CSV_00268,2023-08-26,NYC-02,Cables,1,66.72556667128333
CSV_00269,2023-10-27,London-01,Laptop,5,183.88285142127802
CSV_00270,2023-07-06,NYC-02,Laptop,QTY_ERR,-196.14732668951484
CSV_00271,2023-10-05,Paris-05,Laptop,8,1718.7062926704302
CSV_00272,2023-08-28,Tokyo-04,Keyboard,6,1122.5904397963043
CSV_00273,2023-07-06,NYC-02,Mouse,6,1607.3298923849638
CSV_00274,2023-09-18,London-01,Mouse,6,1871.000438363561
CSV_00275,2023-09-12,Paris-05,Mouse,8,1460.6584432382015
CSV_00276,2023-09-21,Berlin-03,Monitor,4,1739.7806899132734
CSV_00277,2023-11-19,London-01,Mouse,2,695.6715736519625
CSV_00278,2023-11-09,Tokyo-04,Phone,1,1493.2853602165628
CSV_00279,2023-10-05,Paris-05,Mouse,2,1553.6277573993698
CSV_00280,2023-11-08,London-01,Keyboard,3,674.6818090908521
CSV_00281,2023-11-15,NYC-02,Keyboard,,-371.3332370600773
CSV_00282,2023-11-18,Berlin-03,Monitor,3,1750.5412559515162
CSV_00283,2023-09-25,NYC-02,TV,7,992.1243699902011
CSV_00284,2023-10-18,London-01,Phone,8,-452.099901234894
CSV_00285,2023-11-14,London-01,Phone,4,1637.9895154924466
CSV_00286,2023-09-25,London-01,Mouse,2,1545.2372376146998
CSV_00287,2023-10-12,NYC-02,Phone,5,584.9348078822591
CSV_00288,2023-12-26,Paris-05,Cables,8,1427.2392081989549
CSV_00289,2023-08-17,Berlin-03,Keyboard,,1315.0184616379897
CSV_00290,2023-07-08,NYC-02,Mouse,1,1097.543572316907
CSV_00291,2023-09-03,Berlin-03,Monitor,4,1935.6368614406588
CSV_00292,2023-11-17,NYC-02,Monitor,5,1665.4202794801595
CSV_00293,2023-07-13,Tokyo-04,Phone,3,601.2091283491955
CSV_00294,2023-09-19,Tokyo-04,Keyboard,4,1397.3025947656658
CSV_00295,2023-08-18,NYC-02,Monitor,4,1961.7434736788737
CSV_00296,2023-12-24,NYC-02,Mouse,4,1551.1348448092217
CSV_00297,2023-10-27,Tokyo-04,TV,9,1440.2357155458108
CSV_00298,2023-09-18,Paris-05,Cables,1,1318.678706166316
CSV_00299,2023-07-02,London-01,Laptop,1,747.2821832239397
CSV_00300,2023-09-07,Berlin-03,Monitor,5,1937.8567484652526
CSV_00301,2023-09-20,Tokyo-04,Phone,1,1818.178611333296
CSV_00302,2023-07-16,Paris-05,Laptop,9,1768.9214055590974
CSV_00303,2023-12-24,Berlin-03,Mouse,6,1920.183202159356
CSV_00304,2023-07-20,NYC-02,Keyboard,9,817.2886147378551
CSV_00305,2023-11-27,London-01,Keyboard,QTY_ERR,1895.7734067573374
CSV_00306,2023-08-29,Paris-05,Mouse,3,1956.4009048161752
CSV_00307,2023-11-05,Paris-05,TV,9,-87.94529252443436
CSV_00308,2023-07-26,London-01,Laptop,3,3.952715600088368
CSV_00309,2023-08-05,Berlin-03,Keyboard,7,469.91583345956064
CSV_00310,2023-10-26,NYC-02,Phone,6,239.809527656583
CSV_00311,2023-07-12,Paris-05,Phone,8,1844.0924257914517
CSV_00312,2023-07-24,London-01,Laptop,3,795.1147110284792
CSV_00313,2023-08-14,London-01,Cables,6,424.1649437354607
CSV_00314,2023-07-06,London-01,Keyboard,2,1741.5023951374455
CSV_00315,2023-08-01,Paris-05,Monitor,6,258.3116007014962
CSV_00316,2023-12-13,Tokyo-04,Keyboard,4,240.4840755383551
CSV_00317,2023-10-13,Tokyo-04,Mouse,8,1649.855593104715
CSV_00318,2023-12-27,London-01,Laptop,3,738.6503329309007
CSV_00319,2023-10-01,London-01,Keyboard,5,35.00711955003749
CSV_00320,2023-08-20,Berlin-03,Laptop,8,-13.649335855641482
CSV_00321,2023-09-19,London-01,Mouse,3,1398.1735491584798
CSV_00322,2023-10-15,London-01,Phone,6,872.5748230283441
CSV_00323,2023-09-05,Tokyo-04,TV,9,847.9771768063292
CSV_00324,2023-07-11,Berlin-03,Monitor,7,416.34763602239013
CSV_00325,2023-12-12,NYC-02,Laptop,3,-20.839032460480496
CSV_00326,2023-08-22,NYC-02,Laptop,1,612.6132082871634
CSV_00327,2023-08-31,NYC-02,Mouse,5,1360.1067045000027
CSV_00328,2023-10-31,NYC-02,Phone,2,785.1027289463316
CSV_00329,2023-08-22,London-01,Laptop,9,820.1785293420121
CSV_00330,2023-12-24,Tokyo-04,Monitor,4,1641.3530517219865
CSV_00331,2023-12-12,NYC-02,Mouse,QTY_ERR,437.7692582957894
CSV_00332,2023-12-13,Tokyo-04,Cables,2,1109.9194153558701
CSV_00333,2023-10-27,Tokyo-04,Mouse,4,1983.2679857694952
CSV_00334,2023-08-20,Berlin-03,Laptop,5,-374.7364337375704
CSV_00335,2023-11-25,Tokyo-04,TV,2,862.1338945900959
CSV_00336,2023-11-04,NYC-02,Phone,5,1442.2857481362657
CSV_00337,2023-11-06,London-01,TV,6,1788.9843825441985
CSV_00338,2023-09-01,Berlin-03,Laptop,6,1907.163924453619
CSV_00339,2023-10-07,Berlin-03,Keyboard,9,1043.194223076056
CSV_00340,2023-07-11,Tokyo-04,Monitor,5,1920.7338956823783
CSV_00341,2023-10-02,Berlin-03,TV,7,1111.1309104118495
CSV_00342,2023-11-30,Tokyo-04,Cables,3,493.91502197294255
CSV_00343,2023-08-16,NYC-02,Keyboard,9,1664.1510785455002
CSV_00344,2023-08-15,London-01,Mouse,4,440.2728229441732
CSV_00345,2023-12-24,London-01,Monitor,9,771.6865802248458
CSV_00346,2023-10-07,NYC-02,Cables,2,-342.0548751154516
CSV_00347,2023-11-22,Paris-05,Keyboard,5,1601.2238915217126
CSV_00348,2023-10-25,Berlin-03,Cables,7,272.44115196704297
CSV_00349,2023-12-26,Paris-05,TV,4,1785.6550154400943
CSV_00350,2023-10-28,Berlin-03,Monitor,7,1362.3106682074995
CSV_00351,2023-09-20,London-01,Monitor,2,55.23207778140659
CSV_00352,2023-12-20,NYC-02,TV,8,368.59590812116664
CSV_00353,2023-07-16,Berlin-03,TV,3,406.0729264457809
CSV_00354,2023-12-26,NYC-02,Cables,3,1469.1879517869522
CSV_00355,2023-10-08,NYC-02,Keyboard,6,521.7813068487972
CSV_00356,2023-08-22,Tokyo-04,TV,8,1898.6569874731567
CSV_00357,2023-09-13,London-01,Laptop,3,-301.2410419846549
CSV_00358,2023-09-18,London-01,Mouse,2,949.4678964593152
CSV_00359,2023-11-19,Tokyo-04,Keyboard,5,766.9071432102746
CSV_00360,2023-09-14,Berlin-03,Keyboard,9,250.6221172903463
CSV_00361,2023-07-21,Berlin-03,Cables,QTY_ERR,-414.50878607291753
CSV_00362,2023-12-10,Tokyo-04,Phone,6,1948.563489579847
CSV_00363,2023-08-21,NYC-02,Phone,6,1219.9489441138937
CSV_00364,2023-10-18,Tokyo-04,Keyboard,9,-95.31171566670503
CSV_00365,2023-08-20,NYC-02,Cables,8,1528.4842808610274
CSV_00366,2023-09-20,London-01,Keyboard,5,671.9468457025553
CSV_00367,2023-07-31,Berlin-03,Keyboard,1,1930.5366273656746
CSV_00368,2023-07-15,NYC-02,Phone,6,1517.5340891647095
CSV_00369,2023-11-16,Tokyo-04,Keyboard,1,-162.5110766734121
CSV_00370,2023-12-18,Berlin-03,TV,4,1481.3718532330536
CSV_00371,2023-11-05,Paris-05,Mouse,4,1047.736105484005
CSV_00372,2023-09-18,Tokyo-04,Cables,7,1709.713658097885
CSV_00373,2023-09-27,Berlin-03,Phone,2,702.2941897716321
CSV_00374,2023-09-29,London-01,Phone,7,216.3820715026526
CSV_00375,2023-09-25,NYC-02,Laptop,6,686.5288216876411
CSV_00376,2023-07-15,NYC-02,Monitor,8,1306.2161761344814
CSV_00377,2023-08-14,NYC-02,Phone,1,-204.08190106104604
CSV_00378,2023-07-09,London-01,TV,8,-439.7208126775022
CSV_00379,2023-11-18,London-01,Cables,6,489.39425930579137
CSV_00380,2023-12-01,Paris-05,Phone,2,1404.9065019892162
CSV_00381,2023-07-26,Berlin-03,Laptop,5,1637.7447765578809
CSV_00382,2023-10-16,Berlin-03,Monitor,,-320.8697550410348
CSV_00383,2023-11-08,NYC-02,Monitor,QTY_ERR,1458.981643543326
CSV_00384,2023-07-31,NYC-02,Mouse,,413.4775308338325
CSV_00385,2023-12-22,Paris-05,Keyboard,6,1335.3684927452332
CSV_00386,2023-10-26,London-01,TV,1,1875.259388878846
CSV_00387,2023-10-25,Berlin-03,TV,6,-396.9782606461343
CSV_00388,2023-09-28,Paris-05,Keyboard,8,1701.688506783497
CSV_00389,2023-12-25,NYC-02,Mouse,9,1611.0278723566585
CSV_00390,2023-08-26,London-01,Mouse,4,-400.11212856614225
